content_id,content_type,language,genre,run_time,Streaming_Patform
CJSMBEACT2e633,Movie,Bengali,Action,90,hotstar
CJSMBEACT34aec,Movie,Bengali,Action,135,hotstar
CJSMBEACT83b46,Movie,Bengali,Action,120,hotstar
CJSMBECOM12e7a,Movie,Bengali,Comedy,120,hotstar
CJSMBECOM5431a,Movie,Bengali,Comedy,135,hotstar
CJSMBECOMcef10,Movie,Bengali,Comedy,120,hotstar
CJSMBEDRA3f060,Movie,Bengali,Drama,150,hotstar
CJSMBEDRA46aa5,Movie,Bengali,Drama,90,hotstar
CJSMBEDRA73058,Movie,Bengali,Drama,120,hotstar
CJSMBEDRA79ce1,Movie,Bengali,Drama,135,hotstar
CJSMBEDRA9a726,Movie,Bengali,Drama,180,hotstar
CJSMBEDRAa18a0,Movie,Bengali,Drama,120,hotstar
CJSMBEDRAa5c89,Movie,Bengali,Drama,120,hotstar
CJSMBEDRAc906a,Movie,Bengali,Drama,135,hotstar
CJSMBEDRAda274,Movie,Bengali,Drama,120,hotstar
CJSMBEDRAde98b,Movie,Bengali,Drama,120,hotstar
CJSMBEDRAec743,Movie,Bengali,Drama,135,hotstar
CJSMBEFAN32a83,Movie,Bengali,Fantasy,120,hotstar
CJSMBEFAN5adb5,Movie,Bengali,Fantasy,150,hotstar
CJSMBEFAN9ac36,Movie,Bengali,Fantasy,135,hotstar
CJSMBEROM29b4f,Movie,Bengali,Romance,90,hotstar
CJSMBEROM329ec,Movie,Bengali,Romance,120,hotstar
CJSMBEROM3e538,Movie,Bengali,Romance,135,hotstar
CJSMBEROM43bcc,Movie,Bengali,Romance,135,hotstar
CJSMBEROM50389,Movie,Bengali,Romance,120,hotstar
CJSMBEROM6c4d9,Movie,Bengali,Romance,120,hotstar
CJSMBEROMeaa25,Movie,Bengali,Romance,90,hotstar
CJSMBESCI14486,Movie,Bengali,Sci-Fi,135,hotstar
CJSMBETHR31a11,Movie,Bengali,Thriller,135,hotstar
CJSMBETHR3b468,Movie,Bengali,Thriller,120,hotstar
CJSMBETHR7f34f,Movie,Bengali,Thriller,180,hotstar
CJSMBETHR98ac8,Movie,Bengali,Thriller,135,hotstar
CJSMBETHRaaffe,Movie,Bengali,Thriller,120,hotstar
CJSMBETHRba1a7,Movie,Bengali,Thriller,120,hotstar
CJSMBETHRd986e,Movie,Bengali,Thriller,120,hotstar
CJSMENACT0331c,Movie,English,Action,90,hotstar
CJSMENACT0874b,Movie,English,Action,150,hotstar
CJSMENACT08eef,Movie,English,Action,120,hotstar
CJSMENACT0b071,Movie,English,Action,120,hotstar
CJSMENACT0d817,Movie,English,Action,120,hotstar
CJSMENACT0dc6b,Movie,English,Action,120,hotstar
CJSMENACT0ff71,Movie,English,Action,120,hotstar
CJSMENACT10b2a,Movie,English,Action,120,hotstar
CJSMENACT1e511,Movie,English,Action,120,hotstar
CJSMENACT1f1b5,Movie,English,Action,150,hotstar
CJSMENACT1f870,Movie,English,Action,135,hotstar
CJSMENACT1fa2c,Movie,English,Action,90,hotstar
CJSMENACT2f1dc,Movie,English,Action,120,hotstar
CJSMENACT2fa29,Movie,English,Action,120,hotstar
CJSMENACT2facb,Movie,English,Action,90,hotstar
CJSMENACT36b0b,Movie,English,Action,120,hotstar
CJSMENACT36de0,Movie,English,Action,135,hotstar
CJSMENACT37452,Movie,English,Action,90,hotstar
CJSMENACT3869f,Movie,English,Action,135,hotstar
CJSMENACT3997b,Movie,English,Action,135,hotstar
CJSMENACT425fd,Movie,English,Action,150,hotstar
CJSMENACT4396a,Movie,English,Action,135,hotstar
CJSMENACT449c7,Movie,English,Action,120,hotstar
CJSMENACT450a6,Movie,English,Action,120,hotstar
CJSMENACT4c979,Movie,English,Action,120,hotstar
CJSMENACT4cc6b,Movie,English,Action,135,hotstar
CJSMENACT4cf18,Movie,English,Action,90,hotstar
CJSMENACT4e92d,Movie,English,Action,120,hotstar
CJSMENACT51f17,Movie,English,Action,135,hotstar
CJSMENACT5217b,Movie,English,Action,150,hotstar
CJSMENACT53408,Movie,English,Action,150,hotstar
CJSMENACT5408a,Movie,English,Action,150,hotstar
CJSMENACT55478,Movie,English,Action,120,hotstar
CJSMENACT58818,Movie,English,Action,135,hotstar
CJSMENACT59bca,Movie,English,Action,180,hotstar
CJSMENACT59fc8,Movie,English,Action,120,hotstar
CJSMENACT5e7db,Movie,English,Action,150,hotstar
CJSMENACT617c3,Movie,English,Action,120,hotstar
CJSMENACT68c5e,Movie,English,Action,90,hotstar
CJSMENACT6a6db,Movie,English,Action,180,hotstar
CJSMENACT6e933,Movie,English,Action,90,hotstar
CJSMENACT6f7a3,Movie,English,Action,120,hotstar
CJSMENACT6fc09,Movie,English,Action,90,hotstar
CJSMENACT73655,Movie,English,Action,135,hotstar
CJSMENACT75f85,Movie,English,Action,90,hotstar
CJSMENACT78192,Movie,English,Action,120,hotstar
CJSMENACT79e21,Movie,English,Action,120,hotstar
CJSMENACT7a2d2,Movie,English,Action,180,hotstar
CJSMENACT7a8f6,Movie,English,Action,120,hotstar
CJSMENACT87faf,Movie,English,Action,120,hotstar
CJSMENACT8b2fa,Movie,English,Action,135,hotstar
CJSMENACT8dae6,Movie,English,Action,180,hotstar
CJSMENACT8fbf1,Movie,English,Action,120,hotstar
CJSMENACT907a9,Movie,English,Action,90,hotstar
CJSMENACT93106,Movie,English,Action,135,hotstar
CJSMENACT93126,Movie,English,Action,150,hotstar
CJSMENACT960e8,Movie,English,Action,150,hotstar
CJSMENACT97577,Movie,English,Action,135,hotstar
CJSMENACT978b5,Movie,English,Action,150,hotstar
CJSMENACT981b6,Movie,English,Action,120,hotstar
CJSMENACT9b237,Movie,English,Action,120,hotstar
CJSMENACT9fa31,Movie,English,Action,135,hotstar
CJSMENACTa1eb0,Movie,English,Action,120,hotstar
CJSMENACTa21e4,Movie,English,Action,90,hotstar
CJSMENACTa35d8,Movie,English,Action,90,hotstar
CJSMENACTa724e,Movie,English,Action,90,hotstar
CJSMENACTa83e1,Movie,English,Action,120,hotstar
CJSMENACTb0547,Movie,English,Action,90,hotstar
CJSMENACTb4e45,Movie,English,Action,90,hotstar
CJSMENACTb6d05,Movie,English,Action,120,hotstar
CJSMENACTb768b,Movie,English,Action,90,hotstar
CJSMENACTb78fe,Movie,English,Action,120,hotstar
CJSMENACTb894e,Movie,English,Action,120,hotstar
CJSMENACTbf17a,Movie,English,Action,90,hotstar
CJSMENACTc2915,Movie,English,Action,135,hotstar
CJSMENACTc6210,Movie,English,Action,120,hotstar
CJSMENACTc9bd4,Movie,English,Action,120,hotstar
CJSMENACTccf3e,Movie,English,Action,135,hotstar
CJSMENACTd55bd,Movie,English,Action,120,hotstar
CJSMENACTdbfe6,Movie,English,Action,135,hotstar
CJSMENACTde215,Movie,English,Action,135,hotstar
CJSMENACTde257,Movie,English,Action,120,hotstar
CJSMENACTe0699,Movie,English,Action,120,hotstar
CJSMENACTe325c,Movie,English,Action,120,hotstar
CJSMENACTe3263,Movie,English,Action,120,hotstar
CJSMENACTe611b,Movie,English,Action,120,hotstar
CJSMENACTe775e,Movie,English,Action,120,hotstar
CJSMENACTe872b,Movie,English,Action,135,hotstar
CJSMENACTeb580,Movie,English,Action,120,hotstar
CJSMENACTeb89b,Movie,English,Action,135,hotstar
CJSMENACTed905,Movie,English,Action,120,hotstar
CJSMENACTf279e,Movie,English,Action,90,hotstar
CJSMENACTf9107,Movie,English,Action,120,hotstar
CJSMENACTf9f68,Movie,English,Action,120,hotstar
CJSMENACTfd099,Movie,English,Action,135,hotstar
CJSMENADV017d8,Movie,English,Adventure,120,hotstar
CJSMENADV023a1,Movie,English,Adventure,90,hotstar
CJSMENADV04c24,Movie,English,Adventure,135,hotstar
CJSMENADV07344,Movie,English,Adventure,135,hotstar
CJSMENADV08dce,Movie,English,Adventure,90,hotstar
CJSMENADV08f21,Movie,English,Adventure,120,hotstar
CJSMENADV0fec1,Movie,English,Adventure,135,hotstar
CJSMENADV21fd1,Movie,English,Adventure,120,hotstar
CJSMENADV2cf83,Movie,English,Adventure,90,hotstar
CJSMENADV33868,Movie,English,Adventure,150,hotstar
CJSMENADV3a90f,Movie,English,Adventure,90,hotstar
CJSMENADV42c46,Movie,English,Adventure,120,hotstar
CJSMENADV456e0,Movie,English,Adventure,120,hotstar
CJSMENADV4601d,Movie,English,Adventure,90,hotstar
CJSMENADV4857c,Movie,English,Adventure,135,hotstar
CJSMENADV49463,Movie,English,Adventure,90,hotstar
CJSMENADV4d93b,Movie,English,Adventure,180,hotstar
CJSMENADV50371,Movie,English,Adventure,120,hotstar
CJSMENADV52832,Movie,English,Adventure,120,hotstar
CJSMENADV5e402,Movie,English,Adventure,120,hotstar
CJSMENADV63729,Movie,English,Adventure,90,hotstar
CJSMENADV6a10c,Movie,English,Adventure,90,hotstar
CJSMENADV6b20d,Movie,English,Adventure,120,hotstar
CJSMENADV70383,Movie,English,Adventure,150,hotstar
CJSMENADV70c38,Movie,English,Adventure,90,hotstar
CJSMENADV8362a,Movie,English,Adventure,120,hotstar
CJSMENADV837dd,Movie,English,Adventure,90,hotstar
CJSMENADV83bd0,Movie,English,Adventure,135,hotstar
CJSMENADV90584,Movie,English,Adventure,135,hotstar
CJSMENADV94b3b,Movie,English,Adventure,120,hotstar
CJSMENADV95598,Movie,English,Adventure,90,hotstar
CJSMENADV99fc6,Movie,English,Adventure,120,hotstar
CJSMENADV9dbef,Movie,English,Adventure,120,hotstar
CJSMENADV9f0d0,Movie,English,Adventure,150,hotstar
CJSMENADVa1907,Movie,English,Adventure,90,hotstar
CJSMENADVa2776,Movie,English,Adventure,135,hotstar
CJSMENADVa2fca,Movie,English,Adventure,120,hotstar
CJSMENADVa85e2,Movie,English,Adventure,90,hotstar
CJSMENADVa9ca9,Movie,English,Adventure,150,hotstar
CJSMENADVac514,Movie,English,Adventure,120,hotstar
CJSMENADVb966a,Movie,English,Adventure,120,hotstar
CJSMENADVc8c1e,Movie,English,Adventure,150,hotstar
CJSMENADVcb7ae,Movie,English,Adventure,180,hotstar
CJSMENADVcf4c2,Movie,English,Adventure,120,hotstar
CJSMENADVd475f,Movie,English,Adventure,150,hotstar
CJSMENADVd512d,Movie,English,Adventure,120,hotstar
CJSMENADVd6619,Movie,English,Adventure,90,hotstar
CJSMENADVd735b,Movie,English,Adventure,150,hotstar
CJSMENADVeb129,Movie,English,Adventure,120,hotstar
CJSMENADVebbed,Movie,English,Adventure,120,hotstar
CJSMENADVec1dd,Movie,English,Adventure,180,hotstar
CJSMENADVf7a07,Movie,English,Adventure,120,hotstar
CJSMENADVf9b51,Movie,English,Adventure,120,hotstar
CJSMENCOM04521,Movie,English,Comedy,120,hotstar
CJSMENCOM3c1d3,Movie,English,Comedy,120,hotstar
CJSMENCOM4aba9,Movie,English,Comedy,150,hotstar
CJSMENCOMa670d,Movie,English,Comedy,90,hotstar
CJSMENCOMb4259,Movie,English,Comedy,120,hotstar
CJSMENCOMb9373,Movie,English,Comedy,135,hotstar
CJSMENCOMe4270,Movie,English,Comedy,150,hotstar
CJSMENDRA00d25,Movie,English,Drama,120,hotstar
CJSMENDRA034ba,Movie,English,Drama,90,hotstar
CJSMENDRA049ff,Movie,English,Drama,90,hotstar
CJSMENDRA0c6ef,Movie,English,Drama,120,hotstar
CJSMENDRA12ae6,Movie,English,Drama,90,hotstar
CJSMENDRA19f37,Movie,English,Drama,135,hotstar
CJSMENDRA22eef,Movie,English,Drama,135,hotstar
CJSMENDRA29227,Movie,English,Drama,90,hotstar
CJSMENDRA2ec0c,Movie,English,Drama,120,hotstar
CJSMENDRA310fe,Movie,English,Drama,150,hotstar
CJSMENDRA3d0e6,Movie,English,Drama,90,hotstar
CJSMENDRA4041f,Movie,English,Drama,135,hotstar
CJSMENDRA4434a,Movie,English,Drama,90,hotstar
CJSMENDRA4a765,Movie,English,Drama,135,hotstar
CJSMENDRA607a4,Movie,English,Drama,120,hotstar
CJSMENDRA6c3d7,Movie,English,Drama,120,hotstar
CJSMENDRA6d8b5,Movie,English,Drama,90,hotstar
CJSMENDRA734ad,Movie,English,Drama,150,hotstar
CJSMENDRA7f1cf,Movie,English,Drama,150,hotstar
CJSMENDRA816f6,Movie,English,Drama,135,hotstar
CJSMENDRA87982,Movie,English,Drama,135,hotstar
CJSMENDRA8a710,Movie,English,Drama,120,hotstar
CJSMENDRAa045a,Movie,English,Drama,150,hotstar
CJSMENDRAaad98,Movie,English,Drama,180,hotstar
CJSMENDRAb12e7,Movie,English,Drama,90,hotstar
CJSMENDRAb387c,Movie,English,Drama,120,hotstar
CJSMENDRAb91dc,Movie,English,Drama,135,hotstar
CJSMENDRAb9f1c,Movie,English,Drama,120,hotstar
CJSMENDRAc9a70,Movie,English,Drama,120,hotstar
CJSMENDRAcdfbd,Movie,English,Drama,90,hotstar
CJSMENDRAd219d,Movie,English,Drama,120,hotstar
CJSMENDRAf1d44,Movie,English,Drama,120,hotstar
CJSMENDRAf3d19,Movie,English,Drama,120,hotstar
CJSMENDRAf82a7,Movie,English,Drama,135,hotstar
CJSMENDRAfa503,Movie,English,Drama,120,hotstar
CJSMENFAN03713,Movie,English,Fantasy,120,hotstar
CJSMENFAN09e23,Movie,English,Fantasy,120,hotstar
CJSMENFAN1057b,Movie,English,Fantasy,90,hotstar
CJSMENFAN14b0c,Movie,English,Fantasy,150,hotstar
CJSMENFAN1cf66,Movie,English,Fantasy,90,hotstar
CJSMENFAN217c3,Movie,English,Fantasy,150,hotstar
CJSMENFAN2e6fc,Movie,English,Fantasy,120,hotstar
CJSMENFAN30d20,Movie,English,Fantasy,120,hotstar
CJSMENFAN32242,Movie,English,Fantasy,120,hotstar
